"position","team","shot_conversion","shot_quality_index","possession_efficiency","chance_creation_efficiency","defensive_resilience","home_win_pct","away_win_pct","total_points"
"1","Liverpool","13.55","0.36","3.91","10.73","0.10","78.95","52.63","84"
"2","Arsenal","12.34","0.34","3.16","9.29","0.10","52.63","47.37","71"
"3","Man City","11.94","0.35","3.46","9.79","0.13","68.42","42.11","71"
"4","Chelsea","10.58","0.36","3.72","10.23","0.11","63.16","42.11","69"
"5","Aston Villa","11.98","0.35","3.36","9.56","0.11","57.89","42.11","66"
"6","Nott'm Forest","12.53","0.36","4.06","11.33","0.09","47.37","52.63","65"
"7","Brighton","12.70","0.37","3.87","10.50","0.14","42.11","45.00","64"
"8","Newcastle","11.95","0.33","3.26","9.92","0.10","55.56","42.11","62"
"9","Bournemouth","9.98","0.35","4.16","11.97","0.09","42.11","36.84","56"
"10","Brentford","15.00","0.42","3.85","9.22","0.09","47.37","36.84","56"
"11","Fulham","10.38","0.33","3.31","9.94","0.12","36.84","42.11","54"
"12","Crystal Palace","10.12","0.36","4.27","11.83","0.10","31.58","38.89","53"
"13","Everton","10.34","0.35","3.52","10.00","0.09","26.32","31.58","48"
"14","Man Utd","8.56","0.33","3.22","9.61","0.13","36.84","21.05","43"
"15","West Ham","9.66","0.31","3.01","9.80","0.11","26.32","31.58","43"
"16","Wolves","12.53","0.37","3.33","8.96","0.15","31.58","31.58","42"
"17","Spurs","12.88","0.37","3.38","9.08","0.12","31.58","26.32","38"
"18","Leicester","9.94","0.33","2.45","7.34","0.13","21.05","10.53","26"
"19","Ipswich","9.57","0.34","3.15","9.33","0.14","5.26","15.79","22"
"20","Southampton","7.45","0.32","2.30","7.16","0.13","5.00","5.26","12"
