"team","total_goals","total_shots","total_shots_on_target","avg_possession","total_goals_conceded","total_shots_faced","home_win_pct","away_win_pct","total_points"
"Liverpool","84","620","226","57.76","37","368","78.95","52.63","84"
"Arsenal","66","535","182","57.58","34","350","52.63","47.37","71"
"Man City","72","603","213","61.61","44","345","68.42","42.11","71"
"Chelsea","62","586","213","57.29","42","391","63.16","42.11","69"
"Aston Villa","58","484","170","50.61","51","462","57.89","42.11","66"
"Nott'm Forest","58","463","166","40.87","46","531","47.37","52.63","65"
"Brighton","70","551","203","52.49","59","433","42.11","45.00","64"
"Newcastle","60","502","165","50.62","46","454","55.56","42.11","62"
"Bournemouth","58","581","202","48.55","46","487","42.11","36.84","56"
"Brentford","66","440","184","47.74","57","647","47.37","36.84","56"
"Fulham","54","520","173","52.32","54","433","36.84","42.11","54"
"Crystal Palace","51","504","182","42.59","46","469","31.58","38.89","53"
"Everton","42","406","143","40.61","44","480","26.32","31.58","48"
"Man Utd","44","514","172","53.47","51","406","36.84","21.05","43"
"West Ham","46","476","146","48.55","62","583","26.32","31.58","43"
"Wolves","54","431","160","48.08","69","473","31.58","31.58","42"
"Spurs","64","497","185","54.74","65","522","31.58","26.32","38"
"Leicester","33","332","111","45.24","79","630","21.05","10.53","26"
"Ipswich","36","376","127","40.32","82","607","5.26","15.79","22"
"Southampton","26","349","112","48.77","90","699","5.00","5.26","12"
